Nom du Dépôt,URL du Dépôt,Langues,Nombre de Contributeurs,Groupe,NB commit
Shelter for Science,https://github.com/dataforgoodfr/offseason-shelter-for-science,py,9,2,185
Potentiel s(c)olaire,https://github.com/dataforgoodfr/13_potentiel_solaire,notebook  py ts,21,3,832
Démocratiser la Sobriété,https://github.com/dataforgoodfr/13_democratiser_sobriete,notebook py,11,2,212
Empreinte souffrance,https://github.com/dataforgoodfr/13_empreinte_souffrance,py ts notebook,13,2,181
Dans mon eau,https://github.com/dataforgoodfr/13_pollution_eau,notebook,29,3,435
Eclaireur public,https://github.com/dataforgoodfr/13_eclaireur_public,ts,42,3,625
Brigade de surveillance des coupes rases,https://github.com/dataforgoodfr/13_brigade_coupes_rases,notebook,21,3,661
OD&IS,https://github.com/dataforgoodfr/13_odis,notebook,20,3,549
Révéler les Inégalités dans le Cinéma,https://github.com/dataforgoodfr/13_reveler_inegalites_cinema,py notebook,15,2,390
SOS Financement,https://github.com/dataforgoodfr/13_ia_financement,notebook html,5,1,72
CarbonBombs,https://github.com/dataforgoodfr/CarbonBombs,notebook py,7,1,338
Trawl Watch,https://github.com/dataforgoodfr/12_bloom,py ts,22,3,1003
Quota Climat,https://github.com/dataforgoodfr/quotaclimat,py notebook,20,3,1874
Stop Cyberviolence,https://github.com/dataforgoodfr/13_stop_cyberviolence,notebook,8,1,208
GreenLobby,https://github.com/dataforgoodfr/offseason_greenlobby,notebook,3,1,52
Ecose plus que kills,https://github.com/dataforgoodfr/13_ecoskills,py,40,3,382
Zero déchet sauvage,https://github.com/dataforgoodfr/12_zero_dechet_sauvage,py,7,1,72
Pink bombs,https://github.com/dataforgoodfr/12_pinkbombs,html notebook,5,1,193
L’observatoire des imaginaires,https://github.com/dataforgoodfr/12_observatoire_des_imaginaires,notebook,6,1,259
Satellite GES,https://github.com/dataforgoodfr/batch7_satellite_ges,notebook,11,2,376
Notaclimat,https://github.com/dataforgoodfr/batch10_notaclimat,notebook,9,2,252
Worldbank, https://github.com/dataforgoodfr/batch8_worldbank,notebook,10,2,398